subgroup_id,subgroup_code,subgroup_desc,group_id,group_code,group_desc,supergroup_id,supergroup_desc
733,7C3,Outer City Hardship,73,7C,White Communities,7,Constrained City Dwellers
741,7D1,Ageing Communities and Families,74,7D,Ageing City Dwellers,7,Constrained City Dwellers
742,7D2,Retired Independent City Dwellers,74,7D,Ageing City Dwellers,7,Constrained City Dwellers
743,7D3,Retired Communal City Dwellers,74,7D,Ageing City Dwellers,7,Constrained City Dwellers
744,7D4,Retired City Hardship,74,7D,Ageing City Dwellers,7,Constrained City Dwellers
811,8A1,Industrious Transitions,81,8A,Industrious Communities,8,Hard-Pressed Living
812,8A2,Industrious Hardship,81,8A,Industrious Communities,8,Hard-Pressed Living
821,8B1,Deprived Blue-Collar Terraces,82,8B,Challenged Terraced Workers,8,Hard-Pressed Living
822,8B2,Hard-Pressed Rented Terraces,82,8B,Challenged Terraced Workers,8,Hard-Pressed Living
831,8C1,Ageing Industrious Workers,83,8C,Hard-Pressed Ageing Workers,8,Hard-Pressed Living
832,8C2,Ageing Rural Industry Workers,83,8C,Hard-Pressed Ageing Workers,8,Hard-Pressed Living
833,8C3,Renting Hard-Pressed Workers,83,8C,Hard-Pressed Ageing Workers,8,Hard-Pressed Living
841,8D1,Young Hard-Pressed Families,84,8D,Migration and Churn,8,Hard-Pressed Living
842,8D2,Hard-Pressed Ethnic Mix,84,8D,Migration and Churn,8,Hard-Pressed Living
843,8D3,Hard-Pressed European Settlers,84,8D,Migration and Churn,8,Hard-Pressed Living
