LSOA,IUC,IUCd
E01000461,3,e-Veterans
E01000462,6,e-Mainstream
E01000463,6,e-Mainstream
E01000464,7,Passive and Uncommitted Users
E01000465,7,Passive and Uncommitted Users
E01000466,7,Passive and Uncommitted Users
E01000467,4,Youthful Urban Fringe
E01000468,4,Youthful Urban Fringe
E01000469,4,Youthful Urban Fringe
E01000470,7,Passive and Uncommitted Users
E01000471,7,Passive and Uncommitted Users
E01000472,4,Youthful Urban Fringe
E01000473,10,e-Withdrawn
E01000474,10,e-Withdrawn
E01000475,7,Passive and Uncommitted Users
E01000476,7,Passive and Uncommitted Users
E01000477,7,Passive and Uncommitted Users
E01000478,7,Passive and Uncommitted Users
E01000479,4,Youthful Urban Fringe
E01000480,4,Youthful Urban Fringe
E01000481,4,Youthful Urban Fringe
E01000482,7,Passive and Uncommitted Users
E01000483,7,Passive and Uncommitted Users
E01000484,7,Passive and Uncommitted Users
E01000485,7,Passive and Uncommitted Users
E01000486,4,Youthful Urban Fringe
E01000487,4,Youthful Urban Fringe
E01000488,4,Youthful Urban Fringe
E01000489,4,Youthful Urban Fringe
E01000490,2,e-Professionals
E01000491,4,Youthful Urban Fringe
E01000492,3,e-Veterans
E01000493,4,Youthful Urban Fringe
E01000494,3,e-Veterans
E01000495,4,Youthful Urban Fringe
E01000497,7,Passive and Uncommitted Users
E01000498,7,Passive and Uncommitted Users
E01000499,7,Passive and Uncommitted Users
E01000501,7,Passive and Uncommitted Users
E01000502,7,Passive and Uncommitted Users
E01000503,7,Passive and Uncommitted Users
E01000504,3,e-Veterans
E01000505,4,Youthful Urban Fringe
E01000506,4,Youthful Urban Fringe
E01000507,4,Youthful Urban Fringe
E01000508,10,e-Withdrawn
E01000509,7,Passive and Uncommitted Users
E01000510,4,Youthful Urban Fringe
E01000511,4,Youthful Urban Fringe
E01000512,3,e-Veterans
E01000513,4,Youthful Urban Fringe
E01000514,4,Youthful Urban Fringe
E01000515,7,Passive and Uncommitted Users
E01000516,4,Youthful Urban Fringe
E01000517,4,Youthful Urban Fringe
E01000518,4,Youthful Urban Fringe
E01000519,4,Youthful Urban Fringe
E01000520,7,Passive and Uncommitted Users
E01000521,10,e-Withdrawn
E01000522,7,Passive and Uncommitted Users
E01000523,7,Passive and Uncommitted Users
E01000524,7,Passive and Uncommitted Users
E01000525,7,Passive and Uncommitted Users
E01000526,10,e-Withdrawn
E01000527,7,Passive and Uncommitted Users
E01000528,10,e-Withdrawn
E01000530,3,e-Veterans
E01000531,4,Youthful Urban Fringe
E01000532,4,Youthful Urban Fringe
E01000533,7,Passive and Uncommitted Users
E01000534,4,Youthful Urban Fringe
E01000535,4,Youthful Urban Fringe
E01000536,4,Youthful Urban Fringe
E01000538,3,e-Veterans
E01000539,4,Youthful Urban Fringe
E01000540,3,e-Veterans
E01000541,4,Youthful Urban Fringe
E01000543,4,Youthful Urban Fringe
E01000544,4,Youthful Urban Fringe
E01000545,2,e-Professionals
E01000546,3,e-Veterans
E01000547,3,e-Veterans
E01000548,4,Youthful Urban Fringe
E01000549,2,e-Professionals
E01000550,4,Youthful Urban Fringe
E01000551,10,e-Withdrawn
E01000552,10,e-Withdrawn
E01000553,4,Youthful Urban Fringe
E01000554,4,Youthful Urban Fringe
E01000555,3,e-Veterans
E01000556,4,Youthful Urban Fringe
E01000557,2,e-Professionals
E01000558,3,e-Veterans
E01000559,3,e-Veterans
E01000560,2,e-Professionals
E01000561,3,e-Veterans
E01000562,3,e-Veterans
E01000563,4,Youthful Urban Fringe
E01000564,4,Youthful Urban Fringe
E01000565,7,Passive and Uncommitted Users
E01000566,4,Youthful Urban Fringe
E01000567,4,Youthful Urban Fringe
E01000568,2,e-Professionals
E01000569,3,e-Veterans
E01000570,7,Passive and Uncommitted Users
E01000571,4,Youthful Urban Fringe
E01000572,4,Youthful Urban Fringe
E01000573,4,Youthful Urban Fringe
E01000574,4,Youthful Urban Fringe
E01000575,4,Youthful Urban Fringe
E01000576,4,Youthful Urban Fringe
E01000577,4,Youthful Urban Fringe
E01000578,7,Passive and Uncommitted Users
E01000579,3,e-Veterans
E01000580,3,e-Veterans
E01000581,3,e-Veterans
E01000582,2,e-Professionals
E01000583,2,e-Professionals
E01000584,4,Youthful Urban Fringe
E01000585,3,e-Veterans
E01000586,3,e-Veterans
E01000587,7,Passive and Uncommitted Users
E01000588,7,Passive and Uncommitted Users
E01000589,4,Youthful Urban Fringe
E01000590,4,Youthful Urban Fringe
E01000591,7,Passive and Uncommitted Users
E01000592,4,Youthful Urban Fringe
E01000593,4,Youthful Urban Fringe
E01000594,4,Youthful Urban Fringe
E01000595,10,e-Withdrawn
E01000596,10,e-Withdrawn
E01000599,7,Passive and Uncommitted Users
E01000600,7,Passive and Uncommitted Users
E01000601,7,Passive and Uncommitted Users
E01000602,10,e-Withdrawn
E01000603,7,Passive and Uncommitted Users
E01000604,7,Passive and Uncommitted Users
E01000605,10,e-Withdrawn
E01000606,7,Passive and Uncommitted Users
E01000607,4,Youthful Urban Fringe
E01000608,4,Youthful Urban Fringe
E01000609,4,Youthful Urban Fringe
E01000610,7,Passive and Uncommitted Users
E01000611,7,Passive and Uncommitted Users
E01000612,4,Youthful Urban Fringe
E01000613,4,Youthful Urban Fringe
E01000615,4,Youthful Urban Fringe
E01000616,4,Youthful Urban Fringe
E01000617,7,Passive and Uncommitted Users
E01000618,7,Passive and Uncommitted Users
E01000619,7,Passive and Uncommitted Users
E01000620,7,Passive and Uncommitted Users
E01000621,7,Passive and Uncommitted Users
E01000622,4,Youthful Urban Fringe
E01000623,4,Youthful Urban Fringe
E01000624,7,Passive and Uncommitted Users
E01000625,7,Passive and Uncommitted Users
E01000626,10,e-Withdrawn
E01000627,7,Passive and Uncommitted Users
E01000628,7,Passive and Uncommitted Users
E01000629,4,Youthful Urban Fringe
E01000630,7,Passive and Uncommitted Users
E01000631,7,Passive and Uncommitted Users
E01000632,10,e-Withdrawn
E01000633,10,e-Withdrawn
E01000634,4,Youthful Urban Fringe
E01000635,4,Youthful Urban Fringe
E01000636,7,Passive and Uncommitted Users
E01000637,4,Youthful Urban Fringe
E01000638,7,Passive and Uncommitted Users
E01000639,2,e-Professionals
E01000640,4,Youthful Urban Fringe
E01000641,4,Youthful Urban Fringe
E01000642,2,e-Professionals
E01000643,7,Passive and Uncommitted Users
E01000644,4,Youthful Urban Fringe
E01000645,3,e-Veterans
E01000646,3,e-Veterans
E01000647,3,e-Veterans
E01000648,3,e-Veterans
E01000649,3,e-Veterans
E01000650,3,e-Veterans
E01000651,6,e-Mainstream
E01000652,5,e-Rational Utilitarians
E01000653,5,e-Rational Utilitarians
E01000654,3,e-Veterans
E01000655,3,e-Veterans
E01000656,5,e-Rational Utilitarians
E01000657,6,e-Mainstream
E01000658,5,e-Rational Utilitarians
E01000659,3,e-Veterans
E01000661,7,Passive and Uncommitted Users
E01000662,6,e-Mainstream
E01000663,8,Digital Seniors
E01000664,6,e-Mainstream
E01000665,6,e-Mainstream
E01000666,5,e-Rational Utilitarians
E01000667,5,e-Rational Utilitarians
E01000668,3,e-Veterans
E01000669,3,e-Veterans
E01000670,3,e-Veterans
E01000671,6,e-Mainstream
E01000672,5,e-Rational Utilitarians
E01000673,3,e-Veterans
E01000674,6,e-Mainstream
E01000675,3,e-Veterans
E01000676,3,e-Veterans
E01000677,3,e-Veterans
E01000678,3,e-Veterans
E01000679,3,e-Veterans
E01000680,5,e-Rational Utilitarians
E01000681,3,e-Veterans
E01000682,5,e-Rational Utilitarians
E01000683,6,e-Mainstream
E01000684,3,e-Veterans
E01000685,6,e-Mainstream
E01000686,5,e-Rational Utilitarians
E01000687,5,e-Rational Utilitarians
E01000688,3,e-Veterans
E01000689,6,e-Mainstream
E01000690,3,e-Veterans
E01000691,6,e-Mainstream
E01000692,3,e-Veterans
E01000693,5,e-Rational Utilitarians
E01000694,5,e-Rational Utilitarians
E01000695,5,e-Rational Utilitarians
E01000696,3,e-Veterans
E01000697,3,e-Veterans
E01000698,5,e-Rational Utilitarians
E01000699,4,Youthful Urban Fringe
E01000700,3,e-Veterans
E01000701,3,e-Veterans
E01000702,3,e-Veterans
E01000703,3,e-Veterans
E01000704,6,e-Mainstream
E01000705,6,e-Mainstream
E01000706,6,e-Mainstream
E01000707,3,e-Veterans
E01000708,6,e-Mainstream
E01000709,6,e-Mainstream
E01000710,3,e-Veterans
E01000711,3,e-Veterans
E01000712,3,e-Veterans
E01000713,3,e-Veterans
E01000714,3,e-Veterans
E01000715,3,e-Veterans
E01000716,3,e-Veterans
E01000717,3,e-Veterans
E01000718,6,e-Mainstream
E01000719,6,e-Mainstream
E01000720,7,Passive and Uncommitted Users
E01000721,7,Passive and Uncommitted Users
E01000722,6,e-Mainstream
E01000723,9,Settled Offline Communities
E01000724,7,Passive and Uncommitted Users
E01000725,7,Passive and Uncommitted Users
E01000726,8,Digital Seniors
E01000727,8,Digital Seniors
E01000728,7,Passive and Uncommitted Users
E01000729,7,Passive and Uncommitted Users
E01000730,7,Passive and Uncommitted Users
E01000731,7,Passive and Uncommitted Users
E01000732,6,e-Mainstream
E01000733,6,e-Mainstream
E01000734,3,e-Veterans
E01000735,7,Passive and Uncommitted Users
E01000736,7,Passive and Uncommitted Users
E01000737,7,Passive and Uncommitted Users
E01000738,8,Digital Seniors
E01000739,7,Passive and Uncommitted Users
E01000740,4,Youthful Urban Fringe
E01000741,3,e-Veterans
E01000742,3,e-Veterans
E01000743,7,Passive and Uncommitted Users
E01000744,7,Passive and Uncommitted Users
E01000745,3,e-Veterans
E01000746,3,e-Veterans
E01000747,5,e-Rational Utilitarians
E01000748,5,e-Rational Utilitarians
E01000749,5,e-Rational Utilitarians
E01000750,7,Passive and Uncommitted Users
E01000751,6,e-Mainstream
E01000752,8,Digital Seniors
E01000753,5,e-Rational Utilitarians
E01000754,6,e-Mainstream
E01000755,5,e-Rational Utilitarians
E01000756,5,e-Rational Utilitarians
E01000757,5,e-Rational Utilitarians
E01000758,5,e-Rational Utilitarians
E01000759,3,e-Veterans
E01000760,5,e-Rational Utilitarians
E01000761,3,e-Veterans
E01000762,5,e-Rational Utilitarians
E01000763,5,e-Rational Utilitarians
E01000764,6,e-Mainstream
E01000765,5,e-Rational Utilitarians
E01000766,6,e-Mainstream
E01000767,3,e-Veterans
E01000768,3,e-Veterans
E01000769,6,e-Mainstream
E01000770,3,e-Veterans
E01000771,3,e-Veterans
E01000772,5,e-Rational Utilitarians
E01000773,6,e-Mainstream
E01000774,6,e-Mainstream
E01000775,3,e-Veterans
E01000777,3,e-Veterans
E01000778,6,e-Mainstream
E01000779,6,e-Mainstream
E01000780,7,Passive and Uncommitted Users
E01000781,7,Passive and Uncommitted Users
E01000782,7,Passive and Uncommitted Users
E01000783,7,Passive and Uncommitted Users
E01000784,3,e-Veterans
E01000785,7,Passive and Uncommitted Users
E01000786,8,Digital Seniors
E01000787,7,Passive and Uncommitted Users
E01000788,6,e-Mainstream
E01000789,7,Passive and Uncommitted Users
E01000790,6,e-Mainstream
E01000791,8,Digital Seniors
E01000792,8,Digital Seniors
E01000793,5,e-Rational Utilitarians
E01000794,5,e-Rational Utilitarians
E01000795,6,e-Mainstream
E01000796,7,Passive and Uncommitted Users
E01000797,3,e-Veterans
E01000798,7,Passive and Uncommitted Users
E01000799,3,e-Veterans
E01000800,4,Youthful Urban Fringe
E01000801,6,e-Mainstream
E01000802,3,e-Veterans
E01000803,3,e-Veterans
E01000804,3,e-Veterans
E01000805,6,e-Mainstream
E01000806,4,Youthful Urban Fringe
E01000807,5,e-Rational Utilitarians
E01000808,5,e-Rational Utilitarians
E01000809,5,e-Rational Utilitarians
E01000810,5,e-Rational Utilitarians
E01000811,6,e-Mainstream
E01000812,6,e-Mainstream
E01000813,8,Digital Seniors
E01000814,3,e-Veterans
E01000815,5,e-Rational Utilitarians
E01000816,6,e-Mainstream
E01000818,5,e-Rational Utilitarians
E01000819,7,Passive and Uncommitted Users
E01000820,6,e-Mainstream
E01000822,6,e-Mainstream
E01000823,3,e-Veterans
E01000824,3,e-Veterans
E01000825,6,e-Mainstream
E01000826,3,e-Veterans
E01000827,5,e-Rational Utilitarians
E01000828,3,e-Veterans
E01000829,3,e-Veterans
E01000830,3,e-Veterans
E01000831,3,e-Veterans
E01000832,5,e-Rational Utilitarians
E01000833,3,e-Veterans
E01000834,3,e-Veterans
E01000835,6,e-Mainstream
E01000836,3,e-Veterans
E01000837,6,e-Mainstream
E01000838,5,e-Rational Utilitarians
E01000839,3,e-Veterans
