OA,PCS
E00000384,RM8 2
E00000385,RM8 2
E00000386,RM9 4
E00000387,RM9 4
E00000388,RM9 4
E00000389,RM9 4
E00000390,RM8 3
E00000391,RM8 3
E00000392,RM8 3
E00000393,RM8 3
E00000394,RM8 3
E00000395,RM8 3
E00000396,RM8 3
E00000397,RM9 5
E00000398,RM9 5
E00000399,RM9 5
E00000400,RM9 5
E00000401,RM9 5
E00000402,RM9 5
E00000403,RM9 5
E00000404,RM9 5
E00000405,RM9 5
E00000406,RM9 5
E00000407,RM9 5
E00000408,RM9 5
E00000409,RM9 5
E00000410,RM9 5
E00000411,RM9 5
E00000412,RM9 5
E00000413,RM9 5
E00000414,RM8 3
E00000415,RM8 3
E00000416,RM8 3
E00000417,RM8 3
E00000418,RM8 3
E00000419,RM8 3
E00000420,RM109
E00000421,RM109
E00000422,RM109
E00000423,RM9 6
E00000424,RM109
E00000425,RM109
E00000426,RM109
E00000427,RM109
E00000428,RM109
E00000429,RM109
E00000430,RM109
E00000431,RM109
E00000432,RM109
E00000433,RM109
E00000434,RM9 6
E00000435,RM109
E00000436,RM109
E00000437,RM109
E00000438,RM109
E00000439,RM9 6
E00000440,RM9 6
E00000441,RM9 6
E00000442,RM109
E00000443,RM109
E00000444,RM9 6
E00000445,RM109
E00000446,RM9 6
E00000447,RM109
E00000448,RM9 6
E00000449,RM109
E00000450,RM109
E00000451,IG110
E00000452,IG110
E00000453,IG110
E00000454,IG110
E00000455,IG110
E00000456,IG110
E00000457,IG110
E00000458,IG110
E00000459,RM9 4
E00000460,RM9 4
E00000461,RM9 4
E00000462,IG110
E00000463,IG110
E00000464,RM9 6
E00000465,IG110
E00000466,IG110
E00000467,IG110
E00000468,IG110
E00000469,IG110
E00000470,IG110
E00000471,IG110
E00000472,IG110
E00000474,IG110
E00000475,IG110
E00000476,IG110
E00000477,IG110
E00000478,IG110
E00000479,IG110
E00000480,IG110
E00000481,RM8 3
E00000482,RM8 1
E00000483,RM8 1
E00000484,RM8 1
E00000485,RM8 1
E00000486,RM8 1
E00000487,RM8 1
E00000488,RM8 1
E00000489,RM8 1
E00000490,RM8 3
E00000491,RM8 3
E00000492,RM8 1
E00000493,RM8 3
E00000494,RM8 3
E00000495,RM8 3
E00000496,RM8 3
E00000497,RM8 3
E00000498,RM8 3
E00000499,RM8 3
E00000500,RM8 3
E00000501,RM8 3
E00000502,RM8 3
E00000503,RM8 3
E00000504,RM8 3
E00000505,RM8 3
E00000506,RM8 3
E00000507,RM8 3
E00000508,RM8 3
E00000509,RM8 3
E00000510,RM8 1
E00000511,RM108
E00000512,RM109
E00000513,RM108
E00000514,RM108
E00000515,RM108
E00000516,RM108
E00000517,RM108
E00000518,RM108
E00000519,RM108
E00000520,RM108
E00000521,RM108
E00000522,RM109
E00000523,RM108
E00000524,RM109
E00000525,RM109
E00000526,RM109
E00000527,RM108
E00000528,RM109
E00000529,RM109
E00000530,RM108
E00000531,RM108
E00000532,RM109
E00000533,RM109
E00000534,RM109
E00000535,RM109
E00000536,RM109
E00000537,RM109
E00000538,RM108
E00000539,RM108
E00000540,RM108
E00000541,RM108
E00000542,RM108
E00000543,RM108
E00000544,RM108
E00000545,RM8 1
E00000546,RM8 1
E00000547,RM8 1
E00000548,RM8 1
E00000549,RM8 1
E00000550,RM8 1
E00000551,RM8 1
E00000552,RM8 1
E00000553,RM8 1
E00000554,RM8 1
E00000555,RM8 1
E00000556,RM8 1
E00000557,RM8 1
E00000558,RM8 1
E00000559,RM8 1
E00000560,RM6 6
E00000561,RM6 6
E00000562,RM6 6
E00000563,RM6 6
E00000564,RM6 6
E00000565,RM6 6
E00000566,RM6 6
E00000567,RM8 1
E00000568,RM6 6
E00000569,RM6 6
E00000570,RM6 6
E00000571,RM6 6
E00000572,RM6 6
E00000573,RM6 6
E00000574,RM6 6
E00000575,RM6 6
E00000576,N14 7
E00000577,N11 1
E00000578,N14 5
E00000579,EN4 8
E00000580,N14 5
E00000581,EN4 8
E00000582,N14 5
E00000583,N20 0
E00000584,EN4 8
E00000585,N14 5
E00000586,EN4 8
E00000587,EN4 8
E00000588,N14 5
E00000589,N20 0
E00000590,N11 1
E00000591,N14 5
E00000592,N11 1
E00000593,N14 7
E00000594,N20 0
E00000595,N11 1
E00000596,N14 7
E00000597,N11 1
E00000598,N14 7
E00000599,N11 1
E00000600,N11 1
E00000601,N14 7
E00000602,N11 1
E00000603,N11 1
E00000604,N11 1
E00000605,N11 1
E00000606,N11 1
E00000607,N11 1
E00000608,N11 1
E00000609,N11 1
E00000610,N14 5
E00000611,N14 5
E00000612,EN4 8
E00000613,N14 5
E00000614,N14 5
E00000615,EN4 8
E00000616,N14 5
E00000617,EN4 8
E00000618,EN4 8
E00000619,N14 5
E00000620,EN4 8
E00000622,NW9 5
E00000623,NW9 5
E00000624,NW9 5
E00000625,HA8 0
E00000626,NW9 5
E00000627,HA8 0
E00000628,HA8 0
E00000629,NW9 5
E00000630,NW9 5
E00000631,HA8 0
E00000632,HA8 0
E00000633,HA8 9
E00000634,HA8 0
E00000635,HA8 0
E00000636,HA8 9
E00000637,HA8 0
E00000638,HA8 0
E00000640,HA8 0
E00000641,HA8 0
E00000642,HA8 0
E00000643,HA8 0
E00000644,HA8 0
E00000645,HA8 0
E00000646,HA8 0
E00000647,HA8 0
E00000648,HA8 0
E00000649,HA8 9
E00000650,HA8 0
E00000651,NW9 5
E00000652,HA8 9
E00000653,HA8 0
E00000654,HA8 0
E00000655,NW9 5
E00000656,NW9 5
E00000657,NW9 5
E00000658,HA8 0
E00000659,HA8 0
E00000660,HA8 0
E00000661,NW9 5
E00000662,HA8 0
E00000663,HA8 0
E00000664,HA8 0
E00000665,NW9 5
E00000666,HA8 0
E00000667,HA8 0
E00000668,NW2 6
E00000669,NW2 2
E00000670,NW2 1
E00000671,NW2 2
E00000672,NW2 2
E00000674,NW2 2
E00000675,NW2 2
E00000676,NW2 6
E00000677,NW2 1
E00000678,NW2 2
E00000679,NW2 1
E00000680,NW2 2
E00000681,NW2 1
E00000682,NW2 2
E00000683,NW2 2
E00000684,NW2 2
E00000685,NW2 1
E00000686,NW2 3
E00000687,NW110
E00000688,NW118
E00000689,NW119
E00000690,NW118
E00000691,NW118
E00000692,NW118
E00000693,NW118
E00000694,NW118
E00000695,NW118
E00000696,NW118
E00000697,NW118
E00000698,NW2 2
E00000699,NW118
E00000700,NW117
E00000701,NW118
E00000702,NW118
E00000703,NW3 7
E00000704,NW117
E00000705,NW117
E00000706,NW118
E00000707,NW3 7
E00000708,NW2 2
E00000709,NW2 2
E00000710,NW118
E00000711,NW118
E00000712,NW2 1
E00000713,NW2 2
E00000714,NW118
E00000715,NW2 1
E00000716,NW2 2
E00000717,NW2 2
E00000718,NW2 2
E00000719,NW118
E00000720,NW2 2
E00000721,NW2 2
E00000722,NW2 2
E00000723,NW7 2
E00000724,NW9 5
E00000725,NW9 6
E00000726,NW9 6
E00000727,NW9 6
E00000728,NW9 6
E00000729,NW9 6
E00000730,NW9 6
E00000731,NW9 6
E00000732,NW9 6
E00000733,NW9 6
E00000734,NW9 6
E00000736,NW9 4
E00000737,NW9 5
E00000738,NW9 5
E00000739,NW9 5
E00000740,NW9 5
E00000742,NW9 5
E00000743,NW9 5
E00000744,NW9 5
E00000745,NW9 5
E00000746,NW9 5
E00000747,NW9 5
E00000748,NW9 5
E00000749,NW9 5
E00000750,NW9 5
E00000751,NW9 5
E00000752,NW9 5
E00000754,NW9 5
E00000755,NW9 5
E00000756,NW9 5
E00000757,NW9 5
E00000758,NW9 5
E00000760,NW9 5
E00000761,NW9 5
E00000762,NW9 4
E00000763,NW9 5
E00000764,NW9 4
E00000765,NW9 5
E00000766,NW9 6
E00000767,NW9 6
E00000768,NW9 6
E00000769,N11 3
E00000770,N11 3
E00000771,N11 3
E00000772,N11 3
E00000773,N10 2
E00000774,N10 2
E00000775,N10 1
E00000776,N11 3
E00000777,N11 3
E00000778,N11 3
E00000779,N11 3
E00000780,N12 9
E00000781,N11 3
E00000782,N12 0
E00000783,N11 3
E00000785,N12 0
E00000786,N11 3
E00000787,N11 3
E00000788,N11 3
E00000789,N10 2
E00000790,N11 3
E00000791,N11 3
E00000792,N10 2
E00000793,N10 2
E00000794,N10 1
E00000795,N10 2
E00000796,N10 1
E00000797,N10 2
E00000798,N10 2
E00000799,N10 1
E00000800,N10 1
E00000801,N10 2
E00000802,N10 1
E00000803,N10 2
E00000804,N10 1
E00000805,N10 2
E00000806,N11 3
E00000807,N11 3
E00000808,N20 0
E00000809,N11 3
E00000810,N11 3
E00000811,N11 3
E00000812,N20 0
E00000813,N11 3
E00000814,N11 3
E00000815,N11 3
E00000816,N11 3
E00000817,N11 3
E00000818,N11 3
E00000819,EN4 8
E00000820,EN4 8
E00000821,EN4 9
E00000822,EN4 9
E00000823,EN4 9
E00000824,EN4 9
E00000825,EN4 9
E00000826,EN4 9
E00000827,EN4 9
E00000828,EN4 9
E00000829,EN4 9
E00000830,EN4 8
E00000831,EN4 9
E00000832,EN4 9
E00000833,EN4 9
E00000834,EN4 9
E00000835,EN4 9
E00000836,EN4 9
E00000837,EN4 9
E00000838,EN4 8
E00000839,EN4 9
E00000840,EN4 8
E00000841,EN4 9
E00000842,EN4 8
E00000843,EN4 8
E00000844,EN4 8
E00000845,EN4 8
E00000846,EN4 8
E00000847,EN4 8
E00000848,EN4 8
E00000849,EN4 8
E00000850,EN4 8
E00000851,EN4 8
E00000852,EN4 8
E00000853,EN4 8
E00000854,EN4 8
E00000855,EN4 8
E00000856,EN4 8
E00000857,N14 4
E00000858,EN4 8
E00000859,EN4 8
E00000860,EN4 8
E00000861,EN4 8
E00000862,EN4 8
E00000863,EN4 8
E00000864,EN4 9
E00000865,EN4 9
E00000866,EN4 9
E00000867,EN4 9
E00000868,EN4 9
E00000869,EN4 9
E00000870,N2  0
E00000871,N2  0
E00000872,N2  9
E00000873,N2  0
E00000874,N2  0
E00000875,N2  0
E00000876,N2  0
E00000877,N2  9
E00000878,N2  9
E00000879,N2  9
E00000880,N2  8
E00000881,N2  8
E00000882,N2  8
E00000883,N2  9
E00000884,N2  8
E00000885,N2  8
E00000886,N2  8
E00000887,N2  8
E00000888,N2  8
E00000889,N2  8
E00000890,N2  8
E00000891,N2  8
E00000892,N2  8
E00000893,N2  8
E00000894,N2  0
E00000895,N2  9
E00000896,N2  8
E00000897,N2  0
E00000898,N2  9
E00000899,N2  0
E00000900,N2  0
E00000901,N2  8
E00000902,N2  8
E00000903,N2  0
E00000904,N2  0
E00000905,N2  9
E00000906,N2  0
E00000907,N2  9
E00000908,N2  0
E00000909,N2  9
E00000910,N2  9
E00000911,N2  8
E00000912,N2  8
E00000913,N2  0
E00000914,N2  0
E00000915,N2  9
E00000916,N2  8
E00000917,N2  0
E00000918,N2  8
E00000919,N2  9
E00000920,N2  9
E00000921,N2  0
E00000922,HA8 8
E00000923,HA8 8
E00000924,HA8 8
E00000925,HA8 8
E00000926,HA8 8
E00000927,HA8 8
E00000928,HA8 8
E00000929,HA8 8
E00000930,HA8 8
E00000931,HA8 8
E00000932,HA8 8
E00000933,HA8 8
E00000934,HA8 8
E00000935,HA8 8
E00000936,HA8 8
E00000937,HA8 8
E00000938,HA8 8
E00000939,HA8 8
E00000940,HA8 8
E00000941,HA8 8
E00000942,HA8 8
E00000943,HA8 8
E00000944,HA8 8
E00000945,HA8 8
E00000946,HA8 8
E00000947,HA8 7
E00000948,HA8 8
E00000949,HA8 8
E00000950,HA8 9
E00000951,HA8 8
E00000952,HA8 9
E00000953,HA8 7
E00000954,HA8 7
E00000955,HA8 9
E00000956,HA8 7
E00000957,HA8 7
E00000958,HA8 7
E00000959,HA8 9
E00000960,HA8 9
E00000961,HA8 8
E00000962,HA8 8
E00000963,HA8 8
E00000964,HA8 8
E00000965,HA8 8
E00000966,N3  3
E00000967,N3  3
E00000968,N3  2
E00000969,N3  3
E00000970,N3  3
E00000971,N3  3
E00000972,N3  1
E00000973,N3  2
E00000974,N3  3
E00000975,N3  3
E00000976,N3  3
E00000977,N3  3
E00000978,N3  3
E00000979,N3  3
E00000980,N3  3
E00000981,N3  3
E00000982,N3  3
E00000983,N3  3
E00000984,NW7 1
E00000985,N3  1
E00000986,N3  1
E00000987,N3  1
E00000988,N3  1
E00000989,N3  2
E00000990,N3  1
E00000991,N3  3
E00000992,N3  2
E00000993,N3  1
E00000994,N3  3
E00000995,N3  2
E00000996,N3  2
E00000997,NW4 1
E00000998,NW4 1
E00000999,N3  1
E00001000,N3  1
E00001001,NW4 1
E00001002,NW4 1
E00001003,NW4 1
E00001004,N3  2
E00001005,N3  3
E00001006,NW4 1
E00001007,N3  3
E00001008,N3  3
E00001009,N3  3
E00001010,N3  3
E00001011,N3  3
E00001012,NW116
E00001013,NW117
E00001014,NW117
E00001015,N2  0
E00001016,NW117
E00001017,NW116
E00001018,N2  0
E00001019,N2  0
E00001020,NW116
E00001021,NW116
E00001022,NW116
E00001023,NW116
E00001024,NW116
E00001025,N2  0
E00001026,NW110
E00001027,N2  0
E00001028,N2  0
E00001029,NW116
E00001030,N2  0
E00001031,N2  0
E00001032,NW116
E00001033,NW116
E00001034,NW116
E00001035,N2  0
E00001036,NW116
E00001037,N2  0
E00001038,N2  0
E00001039,NW116
E00001040,NW116
E00001041,NW117
E00001042,NW116
E00001043,NW116
E00001044,NW116
E00001045,NW117
E00001046,N2  0
E00001047,NW116
E00001048,NW110
E00001049,N2  0
E00001050,NW117
E00001051,NW117
E00001052,NW116
E00001053,NW117
E00001054,NW117
E00001055,NW117
E00001056,NW117
E00001057,N2  0
E00001058,NW117
E00001059,NW117
E00001060,NW117
E00001061,NW2 1
E00001062,NW119
E00001063,NW110
E00001064,NW110
E00001065,NW119
E00001066,NW119
E00001067,NW110
E00001068,NW119
E00001069,NW119
E00001070,NW119
E00001071,NW118
E00001072,NW119
E00001073,NW119
E00001074,NW119
E00001075,NW119
E00001076,NW2 1
E00001077,NW119
E00001078,NW2 1
E00001079,NW2 1
E00001080,NW2 1
E00001081,NW2 1
E00001082,NW2 1
E00001083,NW2 1
E00001084,NW2 1
E00001085,NW2 1
E00001086,NW2 1
E00001087,NW2 1
E00001088,NW2 6
E00001089,NW2 1
E00001090,NW2 1
E00001091,NW2 1
E00001092,NW110
E00001093,NW110
E00001094,NW119
E00001095,NW110
E00001096,NW110
E00001097,NW110
E00001098,NW110
E00001099,NW110
E00001100,NW119
E00001101,NW110
E00001102,NW119
E00001103,NW110
E00001104,NW119
E00001105,NW110
E00001106,NW119
E00001107,HA8 9
E00001108,NW7 4
E00001109,HA8 9
E00001110,HA8 9
E00001111,HA8 9
E00001112,HA8 9
E00001113,HA8 9
E00001114,NW7 2
E00001115,HA8 9
E00001116,HA8 9
E00001117,NW7 4
E00001118,NW7 3
E00001119,HA8 8
E00001120,HA8 8
E00001121,HA8 8
E00001122,NW7 3
E00001123,NW7 3
E00001124,HA8 8
E00001125,HA8 8
E00001126,HA8 8
E00001127,NW7 3
E00001128,HA8 9
E00001129,HA8 8
E00001130,NW7 3
E00001131,NW7 3
E00001132,HA8 9
E00001133,HA8 9
E00001134,HA8 9
E00001135,NW7 3
E00001136,HA8 9
E00001137,HA8 9
E00001138,HA8 9
E00001139,NW7 3
E00001140,HA8 9
E00001141,HA8 9
E00001142,HA8 9
E00001143,NW7 3
E00001144,NW7 3
E00001145,HA8 9
E00001146,HA8 9
E00001147,HA8 9
E00001148,HA8 9
E00001149,NW7 3
E00001150,NW7 3
E00001151,NW7 3
E00001152,NW7 3
E00001153,NW7 3
E00001154,HA8 9
E00001155,NW4 1
E00001156,NW4 1
E00001157,NW4 2
E00001158,NW4 2
E00001159,NW4 2
E00001160,NW4 4
E00001161,NW4 4
E00001162,NW4 2
E00001163,NW4 2
E00001164,NW4 4
E00001165,NW4 4
E00001166,NW4 2
E00001167,NW4 4
E00001168,NW4 2
E00001169,NW119
E00001170,NW4 2
E00001171,NW4 2
E00001172,NW4 2
E00001173,NW4 2
E00001174,NW4 4
E00001175,NW4 2
E00001176,NW4 2
E00001177,NW4 2
E00001178,NW4 4
E00001179,NW4 4
E00001180,NW4 4
E00001181,NW4 1
E00001182,NW4 1
E00001183,NW4 1
E00001184,NW4 4
E00001185,NW4 4
E00001186,NW4 1
E00001187,NW4 4
E00001188,NW4 1
E00001189,NW4 4
E00001191,NW4 4
E00001192,NW4 1
E00001193,NW4 1
E00001194,NW4 4
E00001195,NW4 1
E00001196,NW4 1
E00001197,NW4 4
E00001198,NW4 1
E00001199,NW4 1
E00001200,NW4 2
E00001201,NW4 2
E00001202,NW4 2
E00001203,NW4 4
E00001204,NW4 4
E00001205,NW4 4
E00001206,EN5 5
E00001207,EN5 5
E00001208,EN5 3
E00001209,EN5 4
E00001210,EN5 5
E00001211,EN5 5
E00001212,EN5 5
E00001213,EN5 4
E00001214,EN5 5
E00001215,EN5 5
E00001216,EN5 5
E00001217,EN5 4
E00001218,EN5 4
E00001219,EN5 4
E00001220,EN5 5
E00001221,EN5 4
E00001222,EN5 4
E00001223,EN5 5
E00001224,EN5 4
E00001225,EN5 4
E00001226,EN5 4
E00001227,EN5 5
E00001228,EN5 4
E00001229,EN5 5
E00001230,EN5 4
E00001231,EN5 5
E00001232,EN5 5
E00001233,EN5 4
E00001234,EN5 4
E00001235,EN5 5
E00001236,EN5 5
E00001237,EN5 4
E00001238,EN5 5
E00001239,EN5 5
E00001240,EN5 5
E00001241,EN5 5
E00001242,EN5 5
E00001243,EN5 5
E00001244,EN5 5
E00001245,EN5 5
E00001246,EN5 1
E00001247,EN5 5
E00001248,EN5 5
E00001249,EN5 3
E00001250,EN5 5
E00001251,EN5 1
E00001252,EN5 5
E00001253,EN5 3
E00001254,EN5 3
E00001255,NW7 3
E00001256,NW7 2
E00001257,NW7 2
E00001258,NW7 2
E00001259,NW7 3
E00001260,NW7 1
E00001261,NW7 4
E00001262,NW7 4
E00001263,NW7 1
E00001265,NW7 4
E00001266,NW7 4
E00001267,NW7 4
E00001268,NW7 4
E00001269,NW7 4
E00001270,NW7 3
E00001271,NW7 1
E00001272,NW7 1
E00001273,NW7 2
E00001274,NW7 2
E00001275,NW7 2
E00001276,NW7 2
E00001277,NW7 2
E00001278,NW7 2
E00001279,NW7 1
E00001280,NW7 2
E00001281,NW7 1
E00001282,NW7 2
E00001283,NW7 2
E00001284,NW7 2
E00001285,NW7 2
E00001286,NW7 1
E00001288,NW7 2
E00001289,NW7 1
E00001290,NW7 2
E00001291,NW7 1
E00001292,NW7 1
E00001293,NW7 2
E00001294,NW7 2
E00001295,NW7 4
E00001296,NW7 4
E00001297,NW7 4
E00001298,NW7 4
E00001299,NW7 4
E00001300,NW7 4
E00001301,NW7 4
E00001302,EN5 1
E00001303,EN5 1
E00001304,EN5 1
E00001305,N20 9
E00001306,N20 9
E00001307,N20 9
E00001308,N20 9
E00001309,N20 9
E00001310,EN5 1
E00001311,N20 9
E00001312,N20 9
E00001313,N20 9
E00001314,N20 9
E00001315,N20 9
E00001316,N20 0
E00001317,N20 0
E00001318,N20 0
E00001319,N20 0
E00001320,N20 0
E00001321,N20 0
E00001322,N20 0
E00001323,N20 0
E00001324,N20 0
E00001325,N20 0
E00001326,N20 0
E00001327,N20 0
E00001328,N20 0
E00001329,N20 0
E00001330,N20 0
E00001331,N20 0
E00001332,EN5 1
E00001333,EN5 1
E00001334,EN5 1
E00001335,EN5 1
E00001336,EN5 1
E00001337,EN5 1
E00001338,EN5 1
E00001339,EN5 1
E00001340,EN5 1
E00001341,EN5 1
E00001342,EN5 1
E00001343,EN5 1
E00001344,EN5 1
E00001345,EN5 1
E00001346,EN5 1
E00001347,EN5 1
E00001348,N20 9
E00001349,N20 9
E00001350,N12 8
E00001351,N12 8
E00001352,N12 7
E00001353,N20 9
E00001354,N12 8
E00001355,N12 7
E00001356,N12 7
E00001357,N12 8
E00001358,N12 8
E00001359,N12 8
E00001360,N12 7
E00001361,N12 8
E00001362,N12 7
E00001363,N12 7
E00001364,N12 7
E00001365,N12 7
E00001366,N12 7
E00001367,N20 8
E00001368,N20 8
E00001369,N20 8
E00001370,N20 8
E00001371,N20 9
E00001372,N20 8
E00001373,N20 0
E00001374,N20 8
E00001375,N20 8
E00001376,N20 9
E00001377,N20 0
E00001378,N20 0
E00001379,N20 0
E00001380,N20 8
E00001381,N20 8
E00001382,N20 8
E00001383,N12 7
